Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0016227,-0.0011967,-0.045289,0,0,0,5.7724,0.036735,-0.00076396,-4.697E-05,0.036262,3.4638E-05,0.066642,0,0,0,0,0,0,package://only_robot_arm/meshes/base_link.STL,0.25098,0.25098,0.25098,1,0,0,0,0,0,0,package://only_robot_arm/meshes/base_link.STL,,Base-1,坐标系18,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,0.057065,0.002779,0.082921,0,0,0,2.3103,0.011942,-0.00047591,-0.0090795,0.023782,-0.00041669,0.016236,0,0,0,0,0,0,package://only_robot_arm/meshes/link_1.STL,0.84314,0.81569,0.75294,1,0,0,0,0,0,0,package://only_robot_arm/meshes/link_1.STL,,Part2-1,坐标系18,底座回转轴,joint_1,revolute,0,0,0,0,0,0,base_link,0,0,-1,100,1,-3.14,3.14,,,,,,,,
link_2,0.11789,-0.0051972,-0.036262,0,0,0,0.84163,0.0005405,0.00010257,-7.5611E-05,0.012735,2.2437E-05,0.012982,0,0,0,0,0,0,package://only_robot_arm/meshes/link_2.STL,0.84314,0.81569,0.75294,1,0,0,0,0,0,0,package://only_robot_arm/meshes/link_2.STL,,Part7-1,坐标系20,肩关节轴,joinit_2,revolute,0.15,0,0.16,-1.5708,-0.69043,0,link_1,0,0,-1,100,1,-3.14,3.14,,,,,,,,
link_3,0.042199,-0.030044,0.04616,0,0,0,1.2927,0.0018572,-0.00069653,-0.00010735,0.0061686,0.00010265,0.0066493,0,0,0,0,0,0,package://only_robot_arm/meshes/link_3.STL,0.84314,0.81569,0.75294,1,0,0,0,0,0,0,package://only_robot_arm/meshes/link_3.STL,,Part1.1-1,坐标系21,肘关节轴,joint_3,revolute,0.3,0,-0.02,0,0,-0.25411,link_2,0,0,-1,100,1,-3.14,3.14,,,,,,,,
link_4,9.7821E-10,-3.4705E-09,0.099877,0,0,0,0.61716,0.0021414,1.583E-11,5.6998E-12,0.0019766,-9.0627E-12,0.00057314,0,0,0,0,0,0,package://only_robot_arm/meshes/link_4.STL,0.84314,0.81569,0.75294,1,0,0,0,0,0,0,package://only_robot_arm/meshes/link_4.STL,,Part3-1,坐标系22,腕1轴,joint_4,revolute,0.20598,0,0.048,1.5708,0,1.791,link_3,0,0,-1,100,1,-3.14,3.14,,,,,,,,
link_5,0.061622,0.00091656,-5.8517E-05,0,0,0,0.33387,0.00024204,-8.3755E-07,-3.7282E-08,0.00033413,-3.6679E-07,0.00034237,0,0,0,0,0,0,package://only_robot_arm/meshes/link_5.STL,1,1,1,1,0,0,0,0,0,0,package://only_robot_arm/meshes/link_5.STL,,Part4-1;ga_camera-1,坐标系23,腕2轴,joint_5,revolute,0,0,0.158,-1.5708,-1.3404,0,link_4,0,0,-1,100,1,-3.14,3.14,,,,,,,,
link_6,-0.0012192,0.00033381,0.041713,0,0,0,0.16487,7.7001E-05,2.9257E-07,-8.7242E-06,7.6799E-05,-4.9468E-08,6.0982E-05,0,0,0,0,0,0,package://only_robot_arm/meshes/link_6.STL,1,1,1,1,0,0,0,0,0,0,package://only_robot_arm/meshes/link_6.STL,,Part5-1;末端执行器-1/零件1-1;末端执行器-1/VT307-5G1-01-F(0)-1;末端执行器-1/零件3^末端执行器-1;末端执行器-1/零件4^末端执行器-1;末端执行器-1/喷嘴前支架-1;末端执行器-1/喷嘴后支架-1,坐标系24,腕3轴,joint_6,revolute,0.094,0,0,1.5708,0,1.5708,link_5,0,0,1,100,1,-3.14,3.14,,,,,,,,
pollination_tip_link,1.0568E-08,-0.0026839,-0.015874,0,0,0,0.0033996,3.5678E-07,2.8541E-13,-2.637E-13,2.7349E-07,-1.4224E-08,1.908E-07,0,0,0,0,0,0,package://only_robot_arm/meshes/pollination_tip_link.STL,0.75686,0.76863,0.75294,1,0,0,0,0,0,0,package://only_robot_arm/meshes/pollination_tip_link.STL,,末端执行器-1/二流雾化喷嘴-1,pollination_tip,,pollination_tip_joint,fixed,0.0045,0.0005,0.13743,0,0,0,link_6,0,0,0,,,,,,,,,,,,
camera_link,0.032253,6.0339E-05,-0.010048,0,0,0,0.044752,3.9447E-06,-2.7756E-09,-2.4435E-07,2.7362E-05,1.1647E-09,2.7277E-05,0,0,0,0,0,0,package://only_robot_arm/meshes/camera_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://only_robot_arm/meshes/camera_link.STL,,IntelRealsense_D435-1,camera_color_optical_frame,,camera_joint,fixed,0.131,0.0485,-0.0325,-2.1948,-1.5708,-0.82885,link_5,0,0,0,,,,,,,,,,,,
